"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1998","POLQ",2.49353713284847e-10,-4.08358485306359,0.4,0.8,8.4486025135172e-06
"1999","CIITA",2.54147448572523e-10,4.05166211982249,0.529,0.429,8.61102385253423e-06
"2000","SYP-AS1",2.59487028368942e-10,-2.91784089516906,0,0.557,8.7919394951965e-06
"2001","PIAS1",2.60783837743656e-10,1.4395179563433,0.943,1,8.83587799043055e-06
"2002","ENTPD5",2.60916732216488e-10,-3.26718513029293,0.286,0.543,8.84038072095903e-06
"2003","TMEM64",2.62929944752687e-10,-4.41972614507247,0.029,0.214,8.90859238811054e-06
"2004","CD37",2.64444103000772e-10,4.43721878505371,0.3,0.057,8.95989509787214e-06
"2005","SPDYE3",2.70055622128848e-10,-3.62309762960793,0.143,0.471,9.15002458896964e-06
"2006","ELK3",2.87645052548113e-10,3.69431867867278,0.543,0.429,9.74598967043515e-06
"2007","SETX",2.88906344205036e-10,2.16952188483652,0.729,0.929,9.78872475435504e-06
"2008","KIAA0355",2.91497677090875e-10,2.52263581573255,0.571,0.786,9.87652429519303e-06
"2009","PCDH11Y",3.07157751429218e-10,-4.09389388477116,0.4,0.886,1.04071189339248e-05
"2010","TRHDE",3.14085745745193e-10,-5.44410333515621,0.429,0.857,1.06418532373386e-05
"2011","ENPP7P4",3.18661387314741e-10,-4.22900913271659,0.257,0.886,1.0796885124998e-05
"2012","SPIRE2",3.24888154178988e-10,-4.63093118508272,0.157,0.757,1.10078604398925e-05
"2013","BTK",3.31710014732809e-10,4.48550171595745,0.3,0.243,1.1238998719177e-05
"2014","NIPA1",3.37522443507134e-10,-2.465881510344,1,0.971,1.14359354309087e-05
"2015","GSN",3.57166528482681e-10,3.7812175340586,0.629,0.314,1.21015163180502e-05
"2016","SHROOM2",3.58788226068092e-10,-2.9038177615589,0.743,0.771,1.21564626756391e-05
"2017","TMEM132A",3.6067025226609e-10,-3.97982211806237,0.014,0.429,1.22202294872796e-05
"2018","FAM178B",3.6120174511792e-10,-3.45269004075824,0.386,0.586,1.22382375280854e-05
"2019","INPP4B",3.73980084927684e-10,-4.29369193055352,0.6,0.9,1.26711932375198e-05
"2020","CASC15",3.86784543984207e-10,-2.56240763785808,0.986,0.986,1.31050339192729e-05
"2021","NSG1",3.91241501083531e-10,-4.02081847150755,0.157,0.386,1.32560445397122e-05
"2022","IGSF21",3.98156809616046e-10,1.6451765506992,0.714,0.929,1.34903490234109e-05
"2023","NPC1",4.05557149651425e-10,2.96092068075807,0.571,0.657,1.37410873444896e-05
"2024","BAAT",4.11509611031512e-10,-4.42212238293996,0.043,0.229,1.39427686409697e-05
"2025","PANK3",4.27873376064053e-10,-4.5668151540109,0.129,0.543,1.44972057278023e-05
"2026","DPYSL5",4.39699917382846e-10,-3.70239679966331,0.314,0.771,1.48979126007656e-05
"2027","CBFB",4.41528973127488e-10,3.41759890844997,0.529,0.643,1.49598846675056e-05
"2028","WDFY2",4.42626451311206e-10,1.94818122165229,0.786,0.943,1.49970694233263e-05
"2029","SDK1",4.60197109705768e-10,2.09869875519342,0.929,0.886,1.55923984710508e-05
"2030","RNF166",4.61279247289867e-10,3.66931943110367,0.443,0.343,1.56290634566753e-05
"2031","SSH1",4.7595988248979e-10,2.74886683826016,0.614,0.671,1.61264727385191e-05
"2032","CTXN2",4.76296965257671e-10,-4.1384140286971,0.014,0.214,1.61378937768604e-05
"2033","DRP2",4.97532006132684e-10,-3.98780345333663,0.129,0.8,1.68573794317876e-05
"2034","NECAB1",5.27309181116992e-10,-4.84464331235986,0.129,0.971,1.78662896746059e-05
"2035","TXK",5.362515224662e-10,-4.64610279553506,0.057,0.4,1.81692740841998e-05
"2036","MXRA8",5.36452761102114e-10,-3.61806018889739,0.029,0.5,1.81760924516618e-05
"2037","EFNB3",5.39149897381181e-10,-4.53249508082702,0,0.4,1.82674768230692e-05
"2038","CA7",5.3931059471618e-10,-4.54225804976692,0,0.386,1.82729215701736e-05
"2039","SEC14L2",5.40379706692171e-10,-4.62038061984588,0.143,0.586,1.83091452221442e-05
"2040","ANKRD24",5.61731392885119e-10,-4.17124102893689,0.329,0.914,1.90325830537336e-05
"2041","ZNF609",5.67664241629128e-10,1.68270967637364,0.871,0.914,1.92335998348781e-05
"2042","LINC00299",5.67705758557831e-10,-3.86536815906279,0.386,0.671,1.92350065114564e-05
"2043","ABCA3",5.88223419596955e-10,-3.89958579498529,0.3,0.914,1.9930185902784e-05
"2044","TMEM2",5.89405686801595e-10,-3.76994422843905,0.3,0.757,1.99702434802116e-05
"2045","SORCS2",6.00707079409094e-10,-3.66017817447772,0.429,0.771,2.03531572645389e-05
"2046","ZDHHC9",6.06129972290209e-10,-3.68904496354098,0.186,0.471,2.05368957211369e-05
"2047","SCNN1D",6.32232934533725e-10,-4.0480326964218,0.029,0.443,2.14213162878717e-05
"2048","KDM6A",6.39550837782337e-10,1.71649286074447,0.871,0.986,2.16692614857412e-05
"2049","WSCD1",6.45258143069561e-10,-4.37904506568572,0.086,0.3,2.18626364034829e-05
"2050","COMMD10",6.62014255829819e-10,1.79795262955894,0.786,0.943,2.24303670160259e-05
"2051","ABCB1",7.21933884933535e-10,-4.22951379773211,0.129,0.4,2.4460563889318e-05
"2052","YPEL4",7.27311923035779e-10,-4.13046024674582,0,0.414,2.46427825762983e-05
"2053","HMHA1",7.30309488227105e-10,5.15665769494482,0.229,0.214,2.47443460801108e-05
"2054","CHKB-AS1",7.32018638097628e-10,-4.40696419874316,0.114,0.471,2.48022554960238e-05
"2055","CCM2",7.42390706230668e-10,2.21094048713352,0.671,0.757,2.51536819085075e-05
"2056","TUSC7",7.42664326003899e-10,-4.65173978885056,0.043,0.229,2.51629526936641e-05
"2057","CEP78",8.05655064106601e-10,-4.63853585784146,0.1,0.543,2.72972048820599e-05
"2058","CLDND1",8.26705874193639e-10,-5.22635617993607,0.143,0.5,2.80104484294289e-05
"2059","DDX5",8.3796605195631e-10,1.27501789372318,0.929,0.986,2.83919657723837e-05
"2060","EFCAB5",9.22547296085717e-10,-3.31993220564919,0.471,0.814,3.12577474859763e-05
"2061","ADCY8",9.47674107478453e-10,-5.17253621489885,0.086,0.386,3.21090941095849e-05
"2062","NDUFB9",9.54085100962512e-10,-4.60581417503281,0.043,0.386,3.23263113908118e-05
