"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"444","Me3",0,-7.48214836560846,0.191,0.825,0
"445","Meg3",0,-9.684575745553,0.337,1,0
"446","Mgat4c",0,-8.45885092399768,0.393,0.839,0
"447","Mif",0,-2.63528456882771,0.725,1,0
"448","Mllt11",0,-5.41440421603391,0.287,0.998,0
"449","Mllt4",0,-5.78870360432426,0.191,0.983,0
"450","Mmp16",0,-7.14144459087743,0.174,0.875,0
"451","Morf4l2",0,-3.31193751354851,0.427,0.999,0
"452","Morn4",0,-6.35826178891481,0.056,0.865,0
"453","Mrc1",0,10.0197046959254,0.528,0.144,0
"454","Mt3",0,-4.74537181044833,0.287,0.995,0
"455","Mtfp1",0,-5.27864293061733,0.101,0.969,0
"456","Mtmr7",0,-5.76737811232648,0.073,0.895,0
"457","Myt1l",0,-8.29317898009737,0.298,0.998,0
"458","Nalcn",0,-7.56520829608433,0.219,0.956,0
"459","Nap1l2",0,-5.87489942597802,0.056,0.976,0
"460","Nap1l3",0,-7.92805078742015,0.028,0.954,0
"461","Nap1l5",0,-11.4274041818333,0.27,0.996,0
"462","Napb",0,-5.11687901044207,0.264,0.997,0
"463","Nat14",0,-6.52239042482712,0.079,0.938,0
"464","Ncald",0,-8.90324450150014,0.343,0.988,0
