gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Mysm1,0.000126066,-0.121898506,0.86,0.752,1,NO
Cask,3.62E-05,-0.12191183,0.944,0.901,1,NO
Cul9,0.000388049,-0.122007973,0.716,0.644,1,NO
Sgta,1.65E-05,-0.122079089,0.946,0.865,0.661943147,NO
Cmtm4,0.0083909,-0.122149635,0.707,0.572,1,NO
Ncs1,7.41E-07,-0.122209509,0.948,0.872,0.029782098,NO
Prpf19,0.001192735,-0.122341759,0.779,0.626,1,NO
Dnajc4,0.005988118,-0.122370739,0.561,0.439,1,NO
Scap,0.000894614,-0.122388439,0.775,0.646,1,NO
Btbd1,6.92E-07,-0.122389523,0.964,0.863,0.02781636,NO
Tm2d2,0.001009251,-0.122627915,0.836,0.68,1,NO
Ndufs7,1.96E-08,-0.122671903,0.968,0.894,0.000789581,NO
Atp6v0c-ps2,1.79E-12,-0.122711523,0.939,0.955,7.18E-08,NO
Tmed9,0.000391434,-0.122716164,0.86,0.682,1,NO
Gm19195,0.149660897,-0.122764448,0.119,0.097,1,NO
Htatip2,0.270778537,-0.122782583,0.329,0.273,1,NO
Cpeb4,1.82E-05,-0.122974197,0.95,0.905,0.731653654,NO
Gm12346,1.40E-06,-0.123392424,0.838,0.847,0.056360613,NO
Gm6335,0.003611397,-0.123514536,0.185,0.205,1,NO
Asb7,0.017501306,-0.123637123,0.568,0.43,1,NO
Fat3,0.005780221,-0.123650414,0.842,0.727,1,NO
Rsbn1l,2.53E-05,-0.123735368,0.842,0.752,1,NO
Mgrn1,1.81E-05,-0.1241361,0.944,0.869,0.727223923,NO
Neurl4,0.043720351,-0.124162966,0.538,0.435,1,NO
Ints6,0.003727577,-0.124336686,0.867,0.757,1,NO
Ddx47,0.01570497,-0.12444254,0.777,0.613,1,NO
Sumf2,0.006729433,-0.124552607,0.475,0.34,1,NO
Tuba1a,8.70E-13,-0.124721843,0.998,0.98,3.50E-08,NO
Fchsd1,0.002067074,-0.124918143,0.617,0.565,1,NO
Psmd1,1.11E-07,-0.125188296,0.975,0.953,0.004471738,NO
Gm34939,0.128458973,-0.125332478,0.117,0.092,1,NO
Tmem67,0.004289613,-0.125364393,0.685,0.574,1,NO
