"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astrocyte","Endothelial","GABAergic","Microglia","Oligo.OPC"
"181","SM-GE8WI_S151_E1-50","Glutamatergic","Superficial.Layers_on",224.317830390719,1.02506799396766,NA,0.474208483484284,Inf,0.120103905827875,NA,0.121037825562793,0.383082449607266,0.142188277010487
"182","SM-GE8WI_S156_E1-50","Glutamatergic","Superficial.Layers_on",219.475310192398,1.00293906887599,NA,0.571416179305828,Inf,0.146222243535974,NA,0.0663705557379417,0.0780902409301002,0.0220043521428753
"183","SM-GE8WI_S157_E1-50","Glutamatergic","Superficial.Layers_on",209.009750706318,0.955114470851578,NA,0.614717011387752,-Inf,0.0338779706396971,NA,0.135647963460501,0.0922090865700647,0.0104604712633055
"184","SM-GE8WI_S159_E1-50","Glutamatergic","Superficial.Layers_on",226.600292714352,1.03549819058341,NA,0.59388355490338,Inf,0.203727082131838,NA,0.220363364721233,0.113736631228271,0.161112511922226
"185","SM-GE8WR_S069_E1-50","Glutamatergic","Superficial.Layers_on",220.226592892893,1.00637221482501,NA,0.344900928275487,Inf,0.0934903051024169,NA,-0.0365505049840956,0.434155238148117,0.0252271389935476
"186","SM-GE8WR_S070_E1-50","Glutamatergic","Deep.Layers_on",189.939250176616,0.86796776616078,NA,0.421990373607163,-Inf,0.0718044238196176,NA,0.269174992101484,0.465521200611606,0.184930904125351
"187","SM-GE8X7_S142_E1-50","Glutamatergic","Deep.Layers_on",187.769715175912,0.85805361494444,NA,0.435274541338155,-Inf,0.269177377230386,NA,0.0803009091261554,0.196266285187789,0.177612180383234
"188","SM-GE8X7_S143_E1-50","Glutamatergic","Deep.Layers_on",92.2633030617234,0.421616769480951,NA,0.358361601693306,-Inf,-0.0216285413663586,NA,0.150701681924873,0.0408444565507794,-0.0196830462503608
"189","SM-GE8X7_S145_E1-50","Glutamatergic","Superficial.Layers_on",232.145360473815,1.0608375560485,NA,0.391424683191198,Inf,0.0939983851020789,NA,0.111965195838183,0.627791449634968,0.0158387233096442
"190","SM-GE8X7_S146_E1-50","Glutamatergic","Deep.Layers_on",136.54410515578,0.623967304410657,NA,0.36320459743778,-Inf,0.153893056432717,NA,0.12545567341239,0.236593519575763,0.0688320280405378
"191","SM-GE8X7_S173_E1-50","Glutamatergic","Superficial.Layers_on",219.562097999722,1.00333566420415,NA,0.391586893857679,Inf,0.055270039794553,NA,0.13300460734825,0.612979717249151,0.0606703422768238
"192","SM-GE8X7_S185_E1-50","Glutamatergic","Deep.Layers_on",83.4089327447668,0.381154842745835,NA,0.0776877900990882,-Inf,0.444127649332015,NA,0.0621005898245912,0.52059362275399,0.104554067562842
"193","SM-GE8XQ_S072_E1-50","Glutamatergic","Deep.Layers_on",108.975728157394,0.497987747380098,NA,0.0838460797801007,-Inf,0.00676316610102437,NA,-0.139371056389615,0.586569102005775,-0.0294149318577525
"194","SM-GE8XQ_S086_E1-50","Glutamatergic","Deep.Layers_on",160.169214966575,0.731927264075191,NA,0.24399084421167,-Inf,-0.00291787391093717,NA,0.0939119055016939,0.664931851346566,0.0357863370607046
"195","SM-GE8YB_S084_E1-50","Glutamatergic","Superficial.Layers_on",195.034445354597,0.89125134326595,NA,0.30414892486896,-Inf,0.165022792202029,NA,0.169168482768504,0.861482918878337,0.152493620324785
"196","SM-GE8YB_S086_E1-50","Glutamatergic","Deep.Layers_on",169.512672390424,0.774624178277262,NA,0.375346088523197,-Inf,0.148809371023022,NA,0.305313766366446,0.436589680197943,0.144960276599411
"197","SM-GE8YB_S087_E1-50","Glutamatergic","Superficial.Layers_on",180.552171496221,0.825071515357313,NA,0.442741058370172,-Inf,0.0786122013637952,NA,0.264400103135377,0.259649861911145,0.0284778837921082
"198","SM-GE8YB_S088_E1-50","Glutamatergic","Superficial.Layers_on",218.362789217462,0.997855167868045,NA,0.50910536548793,-Inf,0.0738443840441341,NA,0.0894115863931809,0.304962913912121,0.132171902132129
"199","SM-GE8YB_S089_E1-50","Glutamatergic","Deep.Layers_on",180.959591610014,0.826933308144899,NA,0.384295330629876,-Inf,0.041405272583433,NA,0.137995497664503,0.378353423145632,0.041247063164123
"200","SM-GE8YB_S090_E1-50","Glutamatergic","Deep.Layers_on",156.556286239127,0.715417218500381,NA,0.431921490113728,-Inf,0.0623180054052403,NA,0.049253512091664,0.13947368939037,0.0504794488826577
"201","SM-GE8YB_S091_E1-50","Glutamatergic","Superficial.Layers_on",189.49317194111,0.865929316871097,NA,0.362708746047454,-Inf,0.130490385723254,NA,0.214057776632355,0.288683059069411,0.0505121988812724
"202","SM-GE8YF_S002_E1-50","Glutamatergic","Superficial.Layers_on",180.493741372071,0.82480450648849,NA,0.284228753289627,-Inf,0.220980782688447,NA,0.156562752795185,0.755993400988658,0.0993590318731108
"203","SM-GE8YF_S003_E1-50","Glutamatergic","Deep.Layers_on",205.101590491081,0.937255302256023,NA,0.540037769289612,-Inf,0.0774410627659965,NA,0.0756329693423622,0.0656147824834734,0.125464838639133
"204","SM-GE8YF_S006_E1-50","Glutamatergic","Superficial.Layers_on",181.399847039688,0.828945148885974,NA,0.389417468213218,-Inf,-0.00043989031118768,NA,0.0757477224315531,0.270243765027838,0.0194181107908338
"205","SM-GE8YI_S080_E1-50","Glutamatergic","Superficial.Layers_on",215.388535737045,0.984263684554339,NA,0.552104656687361,-Inf,0.0570028898020619,NA,0.206896139906089,0.178770051738007,0.0388537441705965
"206","SM-GE8YI_S083_E1-50","Glutamatergic","Superficial.Layers_on",142.993148754294,0.653437579569009,NA,0.427421358697313,-Inf,0.104911189534448,NA,0.0596295766547806,0.110910405731043,0.0315638232909215
"207","SM-GE8YI_S087_E1-50","Glutamatergic","Deep.Layers_on",116.71536245919,0.533355651010257,NA,0.237276533707875,-Inf,0.168895501226297,NA,0.169092768568032,0.822680317656186,0.0940033170215065
"208","SM-GE8YK_S028_E1-50","Glutamatergic","Superficial.Layers_on",178.945100819397,0.817727664393766,NA,0.523607560310831,-Inf,0.0829496171324758,NA,0.200270111313676,0.0722470327607602,0.0577766054782536
